name,district,price,bedroom,wc,acreage,link,date
"Bán Nhà 60m2  Giá 5,4 tỷ Phan Văn Trị  Phường 11 Bình Thạnh","Quận Bình Thạnh, TPHCM",5 tỷ 450 triệu,4 PN,3 WC,161 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-60m2-gia-5-4-ty-phan-van-tri-phuong-11-binh-thanh-id22567731,2024-05-29
"Nhà chính chủ mặt tiền Đinh Đức Thiện,muốn bán gấp để trả nợ cho con.","Huyện Bình Chánh, TPHCM",1 tỷ 950 triệu,3 PN,3 WC,50 m2,https://mogi.vn/huyen-binh-chanh/mua-nha-mat-tien-pho/nha-chinh-chu-mat-tien-dinh-duc-thien-muon-ban-gap-de-tra-no-cho-con-id22566613,2024-05-29
"Mình cần bán nhà mình do áp lực tài chính,chính chủ đường Phan Thái","Huyện Bình Chánh, TPHCM",1 tỷ 950 triệu,4 PN,6 WC,87 m2,https://mogi.vn/huyen-binh-chanh/mua-nha-mat-tien-pho/minh-can-ban-nha-minh-do-ap-luc-tai-chinh-chinh-chu-duong-phan-thai-id22566412,2024-05-29
"Mua bán phòng trọ,nhà trọ tại Hồ chí Minh giá RẺ","Quận 12, TPHCM",2 tỷ 950 triệu,4 PN,5 WC,80 m2,https://mogi.vn/quan-12/mua-nha-hem-ngo/mua-ban-phong-tro-nha-tro-tai-ho-chi-minh-gia-re-id22566823,2024-05-29
"Cần Tiền Bán Gấp Bt Làng báo chí Thảo Điền, Diện tích 110 m2, Chỉ 20 T","Quận 2 (TP. Thủ Đức), TPHCM",20 tỷ,4 PN,5 WC,95 m2,https://mogi.vn/quan-2/mua-nha-biet-thu-lien-ke/can-tien-ban-gap-bt-lang-bao-chi-thao-dien-dien-tich-110-m2-chi-20-t-id22567188,2024-05-29
Bán Nhà Biệt Thự Hẻm Xe Đường Nguyễn Tri Phương Ngay Đại Học Kinh Tế,"Quận 10, TPHCM",31 tỷ,4 PN,5 WC,95 m2,https://mogi.vn/quan-10/mua-nha-biet-thu-lien-ke/ban-nha-biet-thu-hem-xe-duong-nguyen-tri-phuong-ngay-dai-hoc-kinh-te-id22498825,2024-05-29
Bán Nhà Mặt Tiền Trần Hưng Đạo Đoạn 2 chiều phương. Quận5,"Quận 5, TPHCM",31 tỷ,3 PN,3 WC,76 m2,https://mogi.vn/quan-5/mua-nha-mat-tien-pho/ban-nha-mat-tien-tran-hung-dao-doan-2-chieu-phuong-quan5-id22498785,2024-05-29
"Siêu Phẩm (4,5 X 16,5), Ôtô Đỗ Cổng, Sát Mặt Tiền, Lê Quang Định - BT.","Quận Bình Thạnh, TPHCM",7 tỷ 200 triệu,4 PN,5 WC,68 m2,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/sieu-pham-4-5-x-16-5-oto-do-cong-sat-mat-tien-le-quang-dinh-bt-id22545493,2024-05-29
"HIẾM! Chính Chủ Gấp Bán Nhà 3 Tầng (4,6x13), Khu VIP Hồ Biểu Chánh, PN","Quận Phú Nhuận, TPHCM",6 tỷ 800 triệu,15 PN,16 WC,107 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/hiem-chinh-chu-gap-ban-nha-3-tang-4-6x13-khu-vip-ho-bieu-chanh-pn-id22567490,2024-05-29
Nhỉnh nhẹ 10 tỷ sở hữu ngay KS Mặt tiền 4 lầu Q12,"Quận 12, TPHCM",10 tỷ 900 triệu,20 PN,21 WC,100 m2,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/nhinh-nhe-10-ty-so-huu-ngay-ks-mat-tien-4-lau-q12-id22567686,2024-05-29
"Mặt tiền Hồ Bá Kiện  Q10, 8M X23M, 15.5 tỷ","Quận 10, TPHCM",15 tỷ 500 triệu,4 PN,3 WC,161 m2,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/mat-tien-ho-ba-kien-q10-8m-x23m-15-5-ty-id22082271,2024-05-29
"NHÀ 5 Tầng,hẻm xe hơi,Linh Đông,Thủ Đức, 69.1m2,giá 7,2 Tỷ,TL,sổ riêng","Quận Thủ Đức (TP. Thủ Đức), TPHCM",7 tỷ 200 triệu,4 PN,4 WC,110 m2,https://mogi.vn/quan-thu-duc/mua-nha-mat-tien-pho/nha-5-tang-hem-xe-hoi-linh-dong-thu-duc-69-1m2-gia-7-2-ty-tl-so-rieng-id22566791,2024-05-29
Bán gấp nhà Đặng Văn Ngữ Quận Phú Nhuận giá 12 tỷ 12 tỷ - 45 m2,"Quận Phú Nhuận, TPHCM",12 tỷ,3 PN,3 WC,69 m2,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/ban-gap-nha-dang-van-ngu-quan-phu-nhuan-gia-12-ty-12-ty-45-m2-id22090213,2024-05-29
